# Timestep     No_Moles     No_Specs     Pt1536	Pt3	
683          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536	Pt3	
783          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536	Pt3	
883          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536	Pt3	
983          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1083          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1183          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1283          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1383          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1483          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1583          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1683          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1783          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1883          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
1983          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2083          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2183          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2283          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2383          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2483          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2583          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2683          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2783          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2883          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
2983          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3083          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3183          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3283          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3383          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3483          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3583          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3683          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3783          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3883          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
3983          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4083          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4183          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4283          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4383          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4483          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4583          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4683          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4783          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4883          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
4983          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
5083          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
5183          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
5283          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
5383          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
5483          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1539	
5583          1          1	 1	
