         17334 function calls (16969 primitive calls) in 25.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:189(complete)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:561(array2string)
       46    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/twodim_base.py:33(_min_int)
       23    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:233(volume)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1653(reciprocal_vectors)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/basis/parse_nwchem.py:389(remove_zero)
      392    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.generic' objects}
      199    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1310(CUB)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:506(wrapper)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/moleintor.py:778(make_loc)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(hstack)
       33    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:523(_array2string)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/tempfile.py:238(_mkstemp_inner)
    64/37    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/base.py:532(__get__)
       57    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:382(_find_special_point_indices)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:484(converter)
       17    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(diag)
        3    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/re.py:223(split)
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:59(kpoint_convert)
      262    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:522(_fast_reader)
      148    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_internal.py:249(__init__)
       18    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/fft/helper.py:123(fftfreq)
       15    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/twodim_base.py:1094(<genexpr>)
       24    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:937(<listcomp>)
      210    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3284(bas_nprim)
       25    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:497(paths2kpts)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:247(loads)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(cross)
        6    0.000    0.000    0.000    0.000 {built-in method io.open}
       22    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/geometry/cell.py:148(complete_cell)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/files.py:115(make_fapl)
        7    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/basis/parse_nwchem.py:402(<listcomp>)
       27    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:734(_fast_read_ok)
       10    0.000    0.000    0.000    0.000 {built-in method h5py.h5t.py_create}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:77(parse_path_string)
       70    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
     42/2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:467(nparray_to_list)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/numeric.py:1486(cross)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
       67    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1344(HEX)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1394(<listcomp>)
     10/3    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_compile.py:71(_compile)
        8    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3727(_TemporaryMoleContext)
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:35(cellpar)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3001(with_integral_screen)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1321(TET)
        6    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/shape_base.py:299(hstack)
       24    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_methods.py:43(_amin)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      120    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       12    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:198(reshape)
       14    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/geometry/cell.py:28(cell_to_cellpar)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(shape)
       30    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       84    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3254(bas_angular)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
      112    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     1209    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:191(normalize_special_points)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:214(lengths)
       19    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(all)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(linspace)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        8    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/contextlib.py:108(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3146(atom_charges)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argwhere)
        2    0.000    0.000    0.000    0.000 {method 'set_alignment' of 'h5py.h5p.PropFAID' objects}
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(moveaxis)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
       17    0.000    0.000    0.000    0.000 {method 'read' of 'h5py._selector.Reader' objects}
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/contextlib.py:117(__exit__)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/ctypes/__init__.py:383(__getattr__)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:411(<lambda>)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/formula.py:423(strip_number)
       13    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:95(tocell)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:907(__init__)
        9    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/numeric.py:578(argwhere)
       10    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/function_base.py:23(linspace)
       25    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/shape_base.py:81(atleast_2d)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        3    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1315(FCC)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        6    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/numeric.py:1411(moveaxis)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(broadcast_to)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nonzero)
       23    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
       30    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_methods.py:55(_any)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:934(fillFormat)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       59    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/utils/arraywrapper.py:66(attr)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/ctypes/__init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/misc.py:630(check_sanity)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:518(_estimate_ke_cutoff)
        3    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2955(prod)
       19    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2432(all)
       31    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
        4    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/df/fft.py:159(__init__)
       17    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/twodim_base.py:240(diag)
       25    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        8    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/selections.py:19(select)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/contextlib.py:238(helper)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/tempfile.py:144(__next__)
       27    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:625(_extent_type)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:780(_formatArray)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:107(resolve_custom_points)
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/geometry/cell.py:33(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:285(transform)
       98    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3269(bas_nctr)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/warnings.py:20(_showwarnmsg_impl)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     13/1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:789(recurser)
      126    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:367(broadcast_to)
  594/584    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      235    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1318(BCC)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/warnings.py:117(_formatwarnmsg)
        8    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3089(atom_symbol)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/warnings.py:35(_formatwarnmsg_impl)
       24    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2333(any)
        8    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_compile.py:276(_optimize_charset)
       12    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/data/elements.py:1198(_atom_symbol)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/linecache.py:15(getline)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/linecache.py:37(getlines)
       10    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:340(_broadcast_to)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/json/__init__.py:299(loads)
       12    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/numeric.py:1348(normalize_axis_tuple)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/linecache.py:82(updatecache)
       10    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:483(size)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
       16    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:202(transpose)
        8    0.000    0.000    0.000    0.000 {method 'make_selection' of 'h5py._selector.Selector' objects}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:1313(nao_nr)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/misc.py:658(check_sanity)
      130    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       60    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:107(get_linalg_error_extobj)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        9    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/numpy_helper.py:1147(tag_array)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       33    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/group.py:34(__init__)
       11    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:56(__init__)
       58    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      784    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      138    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1675(get_abs_kpts)
        5    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
       55    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(_makearray)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/tempfile.py:133(rng)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        8    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3012(set_cutoff)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/json/decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/symbols.py:16(symbols2numbers)
       61    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/base.py:177(_e)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(transpose)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(swapaxes)
       31    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1892(nonzero)
       82    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:130(_realType)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/genericpath.py:27(isfile)
       33    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
       27    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       42    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/json/decoder.py:343(raw_decode)
        7    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:200(rank)
      232    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      194    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:117(isComplexType)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/atoms.py:333(set_cell)
       15    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       33    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_parse.py:254(get)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1108(__init__)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3124(atom_charge)
       28    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:462(shape)
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/twodim_base.py:162(eye)
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_methods.py:164(_mean)
        9    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2703(amax)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:33(seterr)
       15    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/numpy_helper.py:958(<listcomp>)
       28    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:2098(is_au)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
       31    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
       27    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/filters.py:294(get_filters)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/tempfile.py:147(<listcomp>)
       27    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/files.py:312(mode)
