         17334 function calls (16969 primitive calls) in 25.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.003    0.001    0.010    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/eval_gto.py:188(get_lattice_Ls)
        5    0.003    0.001    0.008    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/eval_gto.py:169(_estimate_rcut)
        1    0.000    0.000    0.008    0.008 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/lib/chkfile.py:25(load_cell)
        1    0.000    0.000    0.007    0.007 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/chkfile.py:28(load)
        1    0.000    0.000    0.007    0.007 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:456(bandpath)
        1    0.000    0.000    0.007    0.007 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:120(bandpath)
     30/1    0.000    0.000    0.007    0.007 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/chkfile.py:55(load_as_dic)
        1    0.000    0.000    0.006    0.006 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/chkfile.py:68(<listcomp>)
        1    0.000    0.000    0.005    0.005 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1158(identify_lattice)
       29    0.000    0.000    0.005    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/files.py:375(__init__)
        3    0.000    0.000    0.005    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/chkfile.py:66(<listcomp>)
       27    0.002    0.000    0.004    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:742(__getitem__)
        2    0.004    0.002    0.004    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/files.py:211(make_fid)
       31    0.002    0.000    0.003    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/group.py:348(__getitem__)
       15    0.000    0.000    0.003    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/eval_gto.py:214(find_boundary)
       18    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(qr)
        1    0.000    0.000    0.003    0.003 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1576(format_basis)
        1    0.000    0.000    0.003    0.003 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:127(format_basis)
      411    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       18    0.001    0.000    0.003    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:766(qr)
        1    0.000    0.000    0.002    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/scf/khf.py:659(make_rdm1)
        1    0.000    0.000    0.002    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/scf/khf.py:228(make_rdm1)
        1    0.000    0.000    0.002    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/scf/khf.py:235(<listcomp>)
        8    0.000    0.000    0.002    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/scf/hf.py:711(make_rdm1)
        2    0.000    0.000    0.002    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:148(convert)
        2    0.000    0.000    0.002    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/basis/__init__.py:75(load)
        1    0.000    0.000    0.002    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:2659(make_env)
        1    0.000    0.000    0.002    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:970(make_env)
       47    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(norm)
        1    0.000    0.000    0.002    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:174(bandpath)
        2    0.000    0.000    0.002    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/basis/parse_cp2k.py:43(load)
      224    0.001    0.000    0.002    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:13(bulk)
       12    0.000    0.000    0.002    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1302(query)
       47    0.001    0.000    0.002    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:2342(norm)
        6    0.000    0.000    0.002    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1564(vol)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/build/bulk.py:14(bulk)
